Date,Open Price,High Price,Low Price,Close Price,Volume
12/5/2024,243.99,244.54,242.13,243.04,40.0
12/6/2024,242.91,244.63,242.08,242.84,36.9
12/7/2024,,,,,
12/8/2024,,,,,
12/9/2024,241.83,247.24,241.75,246.75,44.6
12/10/2024,246.89,248.21,245.34,247.77,36.9
12/11/2024,247.96,250.80,246.26,246.49,45.2
12/12/2024,246.89,248.74,245.68,247.96,32.8
12/13/2024,247.81,249.29,246.24,248.13,33.2
12/14/2024,,,,,
12/15/2024,,,,,
12/16/2024,247.99,251.38,247.65,251.04,51.7
12/17/2024,250.08,253.83,249.78,253.48,51.4
12/18/2024,252.16,254.28,247.74,248.05,56.8
12/19/2024,247.50,252.00,247.09,249.79,60.9
12/20/2024,248.04,255.00,245.69,254.49,147.5
12/21/2024,,,,,
12/22/2024,,,,,
12/23/2024,254.77,255.65,253.45,255.27,40.9
12/24/2024,255.49,258.21,255.29,258.20,23.2
12/25/2024,,,,,
12/26/2024,258.19,260.10,257.63,259.02,27.3
12/27/2024,257.83,258.70,253.06,255.59,42.4
12/28/2024,,,,,
12/29/2024,,,,,
12/30/2024,252.23,253.50,250.75,252.20,35.6
12/31/2024,252.44,253.28,249.43,250.42,39.5
1/1/2025,,,,,
1/2/2025,248.93,249.10,241.82,243.85,55.7
1/3/2025,243.36,244.18,241.89,243.36,40.2
1/4/2025,,,,,
1/5/2025,,,,,
1/6/2025,244.31,247.33,243.20,245.00,45.0
1/7/2025,242.98,245.55,241.35,242.21,40.9
1/8/2025,241.92,243.71,240.05,242.70,37.6
1/9/2025,,,,,
1/10/2025,240.01,240.16,233.00,236.85,61.7
1/11/2025,,,,,
1/12/2025,,,,,
1/13/2025,233.53,234.67,229.72,234.40,49.6
1/14/2025,234.75,236.12,232.47,233.28,39.4
1/15/2025,234.63,238.96,234.43,237.87,39.8
1/16/2025,237.35,238.01,228.03,228.26,71.8
1/17/2025,232.12,232.29,228.48,229.98,68.5
1/18/2025,,,,,
1/19/2025,,,,,
1/20/2025,,,,,
1/21/2025,224.00,224.42,219.38,222.64,98.1
1/22/2025,219.79,224.12,219.79,223.83,64.1
1/23/2025,224.74,227.03,222.30,223.66,60.2
1/24/2025,224.78,225.63,221.41,222.78,54.7
1/25/2025,,,,,
1/26/2025,,,,,
1/27/2025,224.02,232.15,223.98,229.86,94.9
1/28/2025,230.85,240.19,230.81,238.26,75.7
1/29/2025,234.12,239.85,234.01,239.36,45.5
1/30/2025,238.66,240.79,237.21,237.59,55.7
1/31/2025,247.19,247.19,233.44,236.00,101.1
2/1/2025,,,,,
2/2/2025,,,,,
2/3/2025,229.99,231.83,225.70,228.01,73.1
2/4/2025,227.25,233.13,226.65,232.80,45.1
2/5/2025,228.53,232.67,228.27,232.47,39.7
2/6/2025,231.28,233.80,230.43,233.22,29.9
2/7/2025,232.60,234.00,227.26,227.63,39.7
2/8/2025,,,,,
2/9/2025,,,,,
2/10/2025,229.57,230.59,227.20,227.65,33.1
2/11/2025,228.20,235.23,228.13,232.62,53.7
2/12/2025,231.20,236.96,230.68,236.87,45.2
2/13/2025,236.91,242.34,235.57,241.53,53.6
2/14/2025,241.25,245.55,240.99,244.60,40.9
2/15/2025,,,,,
2/16/2025,,,,,
2/17/2025,,,,,
2/18/2025,244.15,245.18,241.84,244.47,48.8
2/19/2025,244.66,246.01,243.16,244.87,32.2
2/20/2025,244.94,246.78,244.29,245.83,32.3
2/21/2025,245.95,248.69,245.22,245.55,53.2
2/22/2025,,,,,
2/23/2025,,,,,
2/24/2025,244.93,248.86,244.42,247.10,51.3
2/25/2025,248.00,250.00,244.91,247.04,48.0
2/26/2025,244.33,244.98,239.13,240.36,44.4
2/27/2025,239.41,242.46,237.06,237.30,41.2
2/28/2025,236.95,242.09,230.20,241.84,56.8
3/1/2025,,,,,
3/2/2025,,,,,
3/3/2025,241.79,244.03,236.11,238.03,47.2
3/4/2025,237.71,240.07,234.68,235.93,53.8
3/5/2025,235.42,236.55,229.23,235.74,47.2
3/6/2025,234.44,237.86,233.16,235.33,45.2
3/7/2025,235.10,241.37,234.76,239.07,46.3
3/8/2025,,,,,
3/9/2025,,,,,
3/10/2025,235.54,236.16,224.22,227.48,72.1
3/11/2025,223.81,225.84,217.45,220.84,76.1
3/12/2025,220.14,221.75,214.91,216.98,62.5
3/13/2025,215.95,216.84,208.42,209.68,61.4
3/14/2025,211.25,213.95,209.58,213.49,60.1
3/15/2025,,,,,
3/16/2025,,,,,
3/17/2025,213.31,215.22,209.97,214.00,48.1
3/18/2025,214.16,215.15,211.49,212.69,42.4
3/19/2025,214.22,218.76,213.75,215.24,54.4
3/20/2025,213.99,217.49,212.22,214.10,48.9
3/21/2025,211.56,218.84,211.28,218.27,94.1
3/22/2025,,,,,
3/23/2025,,,,,
3/24/2025,,,,,
3/25/2025,,,,,
3/26/2025,,,,,
3/27/2025,,,,,
3/28/2025,,,,,
3/29/2025,,,,,
3/30/2025,,,,,
3/31/2025,,,,,
4/1/2025,,,,,
4/2/2025,,,,,
4/3/2025,,,,,
4/4/2025,,,,,
4/5/2025,,,,,
4/6/2025,,,,,
4/7/2025,,,,,
4/8/2025,,,,,
4/9/2025,,,,,
4/10/2025,,,,,
4/11/2025,,,,,
4/12/2025,,,,,
4/13/2025,,,,,
4/14/2025,,,,,
4/15/2025,,,,,
4/16/2025,,,,,
4/17/2025,,,,,
4/18/2025,,,,,
4/19/2025,,,,,
4/20/2025,,,,,
4/21/2025,,,,,
4/22/2025,,,,,
4/23/2025,,,,,
4/24/2025,,,,,
4/25/2025,,,,,
4/26/2025,,,,,
4/27/2025,,,,,
4/28/2025,,,,,
4/29/2025,,,,,
4/30/2025,,,,,
5/1/2025,,,,,
5/2/2025,,,,,
5/3/2025,,,,,
5/4/2025,,,,,
5/5/2025,,,,,
5/6/2025,,,,,
5/7/2025,,,,,
5/8/2025,,,,,
5/9/2025,,,,,
5/10/2025,,,,,
5/11/2025,,,,,
5/12/2025,,,,,
5/13/2025,,,,,
5/14/2025,,,,,
5/15/2025,,,,,
5/16/2025,,,,,
5/17/2025,,,,,
5/18/2025,,,,,
5/19/2025,,,,,
5/20/2025,,,,,
5/21/2025,,,,,
5/22/2025,,,,,
5/23/2025,,,,,
5/24/2025,,,,,
5/25/2025,,,,,
5/26/2025,,,,,
5/27/2025,,,,,
5/28/2025,,,,,
5/29/2025,,,,,
5/30/2025,,,,,
5/31/2025,,,,,
6/1/2025,,,,,
6/2/2025,,,,,
6/3/2025,,,,,
6/4/2025,,,,,
6/5/2025,,,,,
6/6/2025,,,,,
6/7/2025,,,,,
6/8/2025,,,,,
6/9/2025,,,,,
6/10/2025,,,,,
6/11/2025,,,,,
6/12/2025,,,,,
6/13/2025,,,,,
6/14/2025,,,,,
6/15/2025,,,,,
6/16/2025,,,,,
6/17/2025,,,,,
6/18/2025,,,,,
6/19/2025,,,,,
6/20/2025,,,,,
6/21/2025,,,,,
6/22/2025,,,,,
6/23/2025,,,,,
6/24/2025,,,,,
6/25/2025,,,,,
6/26/2025,,,,,
6/27/2025,,,,,
6/28/2025,,,,,
6/29/2025,,,,,
6/30/2025,,,,,
7/1/2025,,,,,
7/2/2025,,,,,
7/3/2025,,,,,
7/4/2025,,,,,
7/5/2025,,,,,
7/6/2025,,,,,
7/7/2025,,,,,
7/8/2025,,,,,
7/9/2025,,,,,
7/10/2025,,,,,
7/11/2025,,,,,
7/12/2025,,,,,
7/13/2025,,,,,
7/14/2025,,,,,
7/15/2025,,,,,
7/16/2025,,,,,
7/17/2025,,,,,
7/18/2025,,,,,
7/19/2025,,,,,
7/20/2025,,,,,
7/21/2025,,,,,
7/22/2025,,,,,
7/23/2025,,,,,
7/24/2025,,,,,
7/25/2025,,,,,
7/26/2025,,,,,
7/27/2025,,,,,
7/28/2025,,,,,
7/29/2025,,,,,
7/30/2025,,,,,
7/31/2025,,,,,
8/1/2025,,,,,
8/2/2025,,,,,
8/3/2025,,,,,
8/4/2025,,,,,
8/5/2025,,,,,
8/6/2025,,,,,
8/7/2025,,,,,
8/8/2025,,,,,
8/9/2025,,,,,
8/10/2025,,,,,
8/11/2025,,,,,
8/12/2025,,,,,
8/13/2025,,,,,
8/14/2025,,,,,
8/15/2025,,,,,
8/16/2025,,,,,
8/17/2025,,,,,
8/18/2025,,,,,
8/19/2025,,,,,
8/20/2025,,,,,
8/21/2025,,,,,
8/22/2025,,,,,
8/23/2025,,,,,
8/24/2025,,,,,
8/25/2025,,,,,
8/26/2025,,,,,
8/27/2025,,,,,
8/28/2025,,,,,
8/29/2025,,,,,
8/30/2025,,,,,
8/31/2025,,,,,
9/1/2025,,,,,
9/2/2025,,,,,
9/3/2025,,,,,
9/4/2025,,,,,
9/5/2025,,,,,
9/6/2025,,,,,
9/7/2025,,,,,
9/8/2025,,,,,
9/9/2025,,,,,
9/10/2025,,,,,
9/11/2025,,,,,
9/12/2025,,,,,
9/13/2025,,,,,
9/14/2025,,,,,
9/15/2025,,,,,
9/16/2025,,,,,
9/17/2025,,,,,
9/18/2025,,,,,
9/19/2025,,,,,
9/20/2025,,,,,
9/21/2025,,,,,
9/22/2025,,,,,
9/23/2025,,,,,
9/24/2025,,,,,
9/25/2025,,,,,
9/26/2025,,,,,
9/27/2025,,,,,
9/28/2025,,,,,
9/29/2025,,,,,
9/30/2025,,,,,
10/1/2025,,,,,
10/2/2025,,,,,
10/3/2025,,,,,
10/4/2025,,,,,
10/5/2025,,,,,
10/6/2025,,,,,
10/7/2025,,,,,
10/8/2025,,,,,
10/9/2025,,,,,
10/10/2025,,,,,
10/11/2025,,,,,
10/12/2025,,,,,
10/13/2025,,,,,
10/14/2025,,,,,
10/15/2025,,,,,
10/16/2025,,,,,
10/17/2025,,,,,
10/18/2025,,,,,
10/19/2025,,,,,
10/20/2025,,,,,
10/21/2025,,,,,
10/22/2025,,,,,
10/23/2025,,,,,
10/24/2025,,,,,
10/25/2025,,,,,
10/26/2025,,,,,
10/27/2025,,,,,
10/28/2025,,,,,
10/29/2025,,,,,
10/30/2025,,,,,
10/31/2025,,,,,
11/1/2025,,,,,
11/2/2025,,,,,
11/3/2025,,,,,
11/4/2025,,,,,
11/5/2025,,,,,
11/6/2025,,,,,
11/7/2025,,,,,
11/8/2025,,,,,
11/9/2025,,,,,
11/10/2025,,,,,
11/11/2025,,,,,
11/12/2025,,,,,
11/13/2025,,,,,
11/14/2025,,,,,
11/15/2025,,,,,
11/16/2025,,,,,
11/17/2025,,,,,
11/18/2025,,,,,
11/19/2025,,,,,
11/20/2025,,,,,
11/21/2025,,,,,
11/22/2025,,,,,
11/23/2025,,,,,
11/24/2025,,,,,
11/25/2025,,,,,
11/26/2025,,,,,
11/27/2025,,,,,
11/28/2025,,,,,
11/29/2025,,,,,
11/30/2025,,,,,
12/1/2025,,,,,
12/2/2025,,,,,
12/3/2025,,,,,
12/4/2025,,,,,
12/5/2025,,,,,
12/6/2025,,,,,
12/7/2025,,,,,
12/8/2025,,,,,
12/9/2025,,,,,
12/10/2025,,,,,
12/11/2025,,,,,
12/12/2025,,,,,
12/13/2025,,,,,
12/14/2025,,,,,
12/15/2025,,,,,
12/16/2025,,,,,
12/17/2025,,,,,
12/18/2025,,,,,
12/19/2025,,,,,
12/20/2025,,,,,
12/21/2025,,,,,
12/22/2025,,,,,
12/23/2025,,,,,
12/24/2025,,,,,
12/25/2025,,,,,
12/26/2025,,,,,
12/27/2025,,,,,
12/28/2025,,,,,
12/29/2025,,,,,
12/30/2025,,,,,
12/31/2025,,,,,
